college_code,branch,category,exam_type,cutoff_percentile,round_number,seats_available
COEP,Computer Engineering,OPEN,CET,99.28,1,90
COEP,Computer Engineering,OPEN,CET,98.95,2,30
COEP,Computer Engineering,OBC,CET,95.48,1,60
COEP,Computer Engineering,OBC,CET,94.83,2,90
COEP,Computer Engineering,SC,CET,84.6,1,90
COEP,Computer Engineering,SC,CET,84.07,2,90
COEP,Computer Engineering,ST,CET,79.48,1,90
COEP,Computer Engineering,ST,CET,78.92,2,120
COEP,Computer Engineering,EWS,CET,96.62,1,120
COEP,Computer Engineering,EWS,CET,96.22,2,60
COEP,Computer Engineering,TFWS,CET,97.83,1,120
COEP,Computer Engineering,TFWS,CET,97.45,2,120
COEP,Information Technology,OPEN,CET,99.13,1,30
COEP,Information Technology,OPEN,CET,98.54,2,60
COEP,Information Technology,OBC,CET,94.9,1,60
COEP,Information Technology,OBC,CET,94.6,2,120
COEP,Information Technology,SC,CET,83.84,1,120
COEP,Information Technology,SC,CET,83.2,2,120
COEP,Information Technology,ST,CET,79.22,1,120
COEP,Information Technology,ST,CET,78.76,2,90
COEP,Information Technology,EWS,CET,96.18,1,60
COEP,Information Technology,EWS,CET,95.75,2,120
COEP,Information Technology,TFWS,CET,96.81,1,120
COEP,Information Technology,TFWS,CET,96.25,2,90
COEP,Mechanical Engineering,OPEN,CET,96.46,1,60
COEP,Mechanical Engineering,OPEN,CET,96.01,2,30
COEP,Mechanical Engineering,OBC,CET,92.36,1,90
COEP,Mechanical Engineering,OBC,CET,91.93,2,30
COEP,Mechanical Engineering,SC,CET,81.24,1,90
COEP,Mechanical Engineering,SC,CET,80.81,2,120
COEP,Mechanical Engineering,ST,CET,76.71,1,60
COEP,Mechanical Engineering,ST,CET,76.31,2,120
COEP,Mechanical Engineering,EWS,CET,93.7,1,30
COEP,Mechanical Engineering,EWS,CET,93.14,2,60
COEP,Mechanical Engineering,TFWS,CET,94.65,1,30
COEP,Mechanical Engineering,TFWS,CET,93.98,2,120
COEP,Electronics & Telecommunication,OPEN,CET,97.36,1,60
COEP,Electronics & Telecommunication,OPEN,CET,97.04,2,90
COEP,Electronics & Telecommunication,OBC,CET,93.84,1,60
COEP,Electronics & Telecommunication,OBC,CET,93.28,2,120
COEP,Electronics & Telecommunication,SC,CET,82.39,1,90
COEP,Electronics & Telecommunication,SC,CET,81.72,2,60
COEP,Electronics & Telecommunication,ST,CET,77.37,1,90
COEP,Electronics & Telecommunication,ST,CET,76.7,2,60
COEP,Electronics & Telecommunication,EWS,CET,94.51,1,120
COEP,Electronics & Telecommunication,EWS,CET,93.89,2,120
COEP,Electronics & Telecommunication,TFWS,CET,95.71,1,120
COEP,Electronics & Telecommunication,TFWS,CET,95.34,2,90
COEP,Civil Engineering,OPEN,CET,94.35,1,90
COEP,Civil Engineering,OPEN,CET,94.0,2,90
COEP,Civil Engineering,OBC,CET,90.38,1,30
COEP,Civil Engineering,OBC,CET,89.93,2,30
COEP,Civil Engineering,SC,CET,79.43,1,120
COEP,Civil Engineering,SC,CET,78.75,2,120
COEP,Civil Engineering,ST,CET,74.33,1,30
COEP,Civil Engineering,ST,CET,73.74,2,120
COEP,Civil Engineering,EWS,CET,91.53,1,90
COEP,Civil Engineering,EWS,CET,90.89,2,90
COEP,Civil Engineering,TFWS,CET,92.5,1,30
COEP,Civil Engineering,TFWS,CET,92.13,2,120
COEP,Electrical Engineering,OPEN,CET,95.65,1,90
COEP,Electrical Engineering,OPEN,CET,95.21,2,30
COEP,Electrical Engineering,OBC,CET,92.13,1,90
COEP,Electrical Engineering,OBC,CET,91.37,2,60
COEP,Electrical Engineering,SC,CET,80.85,1,30
COEP,Electrical Engineering,SC,CET,80.32,2,90
COEP,Electrical Engineering,ST,CET,75.74,1,120
COEP,Electrical Engineering,ST,CET,75.11,2,120
COEP,Electrical Engineering,EWS,CET,92.82,1,90
COEP,Electrical Engineering,EWS,CET,92.22,2,30
COEP,Electrical Engineering,TFWS,CET,94.04,1,120
COEP,Electrical Engineering,TFWS,CET,93.37,2,60
VIT,Computer Engineering,OPEN,CET,97.47,1,60
VIT,Computer Engineering,OPEN,CET,96.75,2,90
VIT,Computer Engineering,OBC,CET,93.82,1,120
VIT,Computer Engineering,OBC,CET,93.17,2,90
VIT,Computer Engineering,SC,CET,82.41,1,60
VIT,Computer Engineering,SC,CET,81.79,2,60
VIT,Computer Engineering,ST,CET,77.45,1,30
VIT,Computer Engineering,ST,CET,76.78,2,90
VIT,Computer Engineering,EWS,CET,94.78,1,90
VIT,Computer Engineering,EWS,CET,94.4,2,120
VIT,Computer Engineering,TFWS,CET,95.85,1,60
VIT,Computer Engineering,TFWS,CET,95.5,2,120
VIT,Information Technology,OPEN,CET,96.77,1,120
VIT,Information Technology,OPEN,CET,96.38,2,60
VIT,Information Technology,OBC,CET,93.04,1,30
VIT,Information Technology,OBC,CET,92.55,2,30
VIT,Information Technology,SC,CET,81.93,1,90
VIT,Information Technology,SC,CET,81.24,2,120
VIT,Information Technology,ST,CET,77.14,1,90
VIT,Information Technology,ST,CET,76.63,2,30
VIT,Information Technology,EWS,CET,94.21,1,60
VIT,Information Technology,EWS,CET,93.84,2,60
VIT,Information Technology,TFWS,CET,94.78,1,120
VIT,Information Technology,TFWS,CET,94.17,2,30
VIT,Mechanical Engineering,OPEN,CET,93.74,1,60
VIT,Mechanical Engineering,OPEN,CET,93.2,2,30
VIT,Mechanical Engineering,OBC,CET,89.17,1,120
VIT,Mechanical Engineering,OBC,CET,88.71,2,90
VIT,Mechanical Engineering,SC,CET,78.67,1,120
VIT,Mechanical Engineering,SC,CET,78.34,2,90
VIT,Mechanical Engineering,ST,CET,73.64,1,90
VIT,Mechanical Engineering,ST,CET,72.99,2,30
VIT,Mechanical Engineering,EWS,CET,90.53,1,120
VIT,Mechanical Engineering,EWS,CET,90.07,2,60
VIT,Mechanical Engineering,TFWS,CET,91.51,1,30
VIT,Mechanical Engineering,TFWS,CET,90.79,2,60
VIT,Electronics & Telecommunication,OPEN,CET,95.43,1,30
VIT,Electronics & Telecommunication,OPEN,CET,94.97,2,30
VIT,Electronics & Telecommunication,OBC,CET,91.48,1,120
VIT,Electronics & Telecommunication,OBC,CET,91.1,2,60
VIT,Electronics & Telecommunication,SC,CET,80.45,1,120
VIT,Electronics & Telecommunication,SC,CET,79.94,2,30
VIT,Electronics & Telecommunication,ST,CET,75.67,1,120
VIT,Electronics & Telecommunication,ST,CET,75.17,2,60
VIT,Electronics & Telecommunication,EWS,CET,92.29,1,30
VIT,Electronics & Telecommunication,EWS,CET,91.9,2,30
VIT,Electronics & Telecommunication,TFWS,CET,93.53,1,30
VIT,Electronics & Telecommunication,TFWS,CET,92.96,2,30
VIT,Civil Engineering,OPEN,CET,90.24,1,120
VIT,Civil Engineering,OPEN,CET,89.52,2,30
VIT,Civil Engineering,OBC,CET,86.46,1,30
VIT,Civil Engineering,OBC,CET,85.84,2,120
VIT,Civil Engineering,SC,CET,75.15,1,30
VIT,Civil Engineering,SC,CET,74.41,2,30
VIT,Civil Engineering,ST,CET,70.42,1,120
VIT,Civil Engineering,ST,CET,69.73,2,60
VIT,Civil Engineering,EWS,CET,87.38,1,60
VIT,Civil Engineering,EWS,CET,86.97,2,120
VIT,Civil Engineering,TFWS,CET,88.55,1,120
VIT,Civil Engineering,TFWS,CET,87.79,2,60
VIT,Electrical Engineering,OPEN,CET,92.58,1,120
VIT,Electrical Engineering,OPEN,CET,92.12,2,120
VIT,Electrical Engineering,OBC,CET,88.67,1,60
VIT,Electrical Engineering,OBC,CET,87.87,2,60
VIT,Electrical Engineering,SC,CET,77.35,1,30
VIT,Electrical Engineering,SC,CET,76.65,2,120
VIT,Electrical Engineering,ST,CET,72.29,1,60
VIT,Electrical Engineering,ST,CET,71.57,2,60
VIT,Electrical Engineering,EWS,CET,89.21,1,30
VIT,Electrical Engineering,EWS,CET,88.57,2,90
VIT,Electrical Engineering,TFWS,CET,90.41,1,90
VIT,Electrical Engineering,TFWS,CET,90.05,2,30
PICT,Computer Engineering,OPEN,CET,96.96,1,60
PICT,Computer Engineering,OPEN,CET,96.4,2,90
PICT,Computer Engineering,OBC,CET,92.81,1,60
PICT,Computer Engineering,OBC,CET,92.46,2,30
PICT,Computer Engineering,SC,CET,81.84,1,120
PICT,Computer Engineering,SC,CET,81.06,2,30
PICT,Computer Engineering,ST,CET,77.1,1,90
PICT,Computer Engineering,ST,CET,76.37,2,60
PICT,Computer Engineering,EWS,CET,93.89,1,30
PICT,Computer Engineering,EWS,CET,93.43,2,120
PICT,Computer Engineering,TFWS,CET,95.14,1,30
PICT,Computer Engineering,TFWS,CET,94.47,2,120
PICT,Information Technology,OPEN,CET,96.48,1,120
PICT,Information Technology,OPEN,CET,95.91,2,60
PICT,Information Technology,OBC,CET,92.09,1,90
PICT,Information Technology,OBC,CET,91.61,2,90
PICT,Information Technology,SC,CET,81.11,1,90
PICT,Information Technology,SC,CET,80.8,2,60
PICT,Information Technology,ST,CET,76.44,1,120
PICT,Information Technology,ST,CET,75.66,2,30
PICT,Information Technology,EWS,CET,92.99,1,60
PICT,Information Technology,EWS,CET,92.38,2,120
PICT,Information Technology,TFWS,CET,94.08,1,60
PICT,Information Technology,TFWS,CET,93.35,2,90
PICT,Mechanical Engineering,OPEN,CET,91.5,1,120
PICT,Mechanical Engineering,OPEN,CET,90.85,2,60
PICT,Mechanical Engineering,OBC,CET,87.51,1,60
PICT,Mechanical Engineering,OBC,CET,86.88,2,60
PICT,Mechanical Engineering,SC,CET,76.21,1,60
PICT,Mechanical Engineering,SC,CET,75.55,2,60
PICT,Mechanical Engineering,ST,CET,71.49,1,90
PICT,Mechanical Engineering,ST,CET,70.73,2,90
PICT,Mechanical Engineering,EWS,CET,88.54,1,60
PICT,Mechanical Engineering,EWS,CET,88.13,2,90
PICT,Mechanical Engineering,TFWS,CET,89.2,1,90
PICT,Mechanical Engineering,TFWS,CET,88.87,2,90
PICT,Electronics & Telecommunication,OPEN,CET,94.03,1,60
PICT,Electronics & Telecommunication,OPEN,CET,93.44,2,120
PICT,Electronics & Telecommunication,OBC,CET,89.66,1,60
PICT,Electronics & Telecommunication,OBC,CET,89.21,2,120
PICT,Electronics & Telecommunication,SC,CET,79.16,1,120
PICT,Electronics & Telecommunication,SC,CET,78.77,2,30
PICT,Electronics & Telecommunication,ST,CET,73.86,1,90
PICT,Electronics & Telecommunication,ST,CET,73.29,2,30
PICT,Electronics & Telecommunication,EWS,CET,91.2,1,30
PICT,Electronics & Telecommunication,EWS,CET,90.69,2,120
PICT,Electronics & Telecommunication,TFWS,CET,91.65,1,60
PICT,Electronics & Telecommunication,TFWS,CET,90.9,2,30
PICT,Civil Engineering,OPEN,CET,87.46,1,30
PICT,Civil Engineering,OPEN,CET,86.84,2,90
PICT,Civil Engineering,OBC,CET,83.68,1,90
PICT,Civil Engineering,OBC,CET,82.96,2,120
PICT,Civil Engineering,SC,CET,72.38,1,90
PICT,Civil Engineering,SC,CET,71.67,2,60
PICT,Civil Engineering,ST,CET,67.57,1,90
PICT,Civil Engineering,ST,CET,67.26,2,60
PICT,Civil Engineering,EWS,CET,84.5,1,60
PICT,Civil Engineering,EWS,CET,83.93,2,90
PICT,Civil Engineering,TFWS,CET,85.55,1,60
PICT,Civil Engineering,TFWS,CET,84.86,2,30
PICT,Electrical Engineering,OPEN,CET,90.64,1,90
PICT,Electrical Engineering,OPEN,CET,89.86,2,30
PICT,Electrical Engineering,OBC,CET,86.5,1,120
PICT,Electrical Engineering,OBC,CET,85.85,2,60
PICT,Electrical Engineering,SC,CET,75.22,1,120
PICT,Electrical Engineering,SC,CET,74.73,2,120
PICT,Electrical Engineering,ST,CET,70.22,1,120
PICT,Electrical Engineering,ST,CET,69.71,2,30
PICT,Electrical Engineering,EWS,CET,87.15,1,120
PICT,Electrical Engineering,EWS,CET,86.39,2,90
PICT,Electrical Engineering,TFWS,CET,88.25,1,30
PICT,Electrical Engineering,TFWS,CET,87.88,2,60
PCCOE,Computer Engineering,OPEN,CET,94.43,1,60
PCCOE,Computer Engineering,OPEN,CET,94.0,2,30
PCCOE,Computer Engineering,OBC,CET,90.39,1,120
PCCOE,Computer Engineering,OBC,CET,89.6,2,60
PCCOE,Computer Engineering,SC,CET,79.88,1,30
PCCOE,Computer Engineering,SC,CET,79.53,2,120
PCCOE,Computer Engineering,ST,CET,74.72,1,90
PCCOE,Computer Engineering,ST,CET,74.28,2,120
PCCOE,Computer Engineering,EWS,CET,91.42,1,60
PCCOE,Computer Engineering,EWS,CET,91.01,2,90
PCCOE,Computer Engineering,TFWS,CET,92.39,1,120
PCCOE,Computer Engineering,TFWS,CET,91.64,2,120
PCCOE,Information Technology,OPEN,CET,94.18,1,120
PCCOE,Information Technology,OPEN,CET,93.47,2,30
PCCOE,Information Technology,OBC,CET,89.98,1,60
PCCOE,Information Technology,OBC,CET,89.49,2,30
PCCOE,Information Technology,SC,CET,78.99,1,90
PCCOE,Information Technology,SC,CET,78.32,2,120
PCCOE,Information Technology,ST,CET,74.19,1,90
PCCOE,Information Technology,ST,CET,73.6,2,60
PCCOE,Information Technology,EWS,CET,91.03,1,120
PCCOE,Information Technology,EWS,CET,90.54,2,90
PCCOE,Information Technology,TFWS,CET,92.14,1,30
PCCOE,Information Technology,TFWS,CET,91.83,2,90
PCCOE,Mechanical Engineering,OPEN,CET,87.15,1,90
PCCOE,Mechanical Engineering,OPEN,CET,86.68,2,60
PCCOE,Mechanical Engineering,OBC,CET,83.65,1,90
PCCOE,Mechanical Engineering,OBC,CET,82.96,2,90
PCCOE,Mechanical Engineering,SC,CET,72.68,1,60
PCCOE,Mechanical Engineering,SC,CET,72.29,2,60
PCCOE,Mechanical Engineering,ST,CET,67.49,1,60
PCCOE,Mechanical Engineering,ST,CET,66.71,2,30
PCCOE,Mechanical Engineering,EWS,CET,84.3,1,120
PCCOE,Mechanical Engineering,EWS,CET,83.63,2,30
PCCOE,Mechanical Engineering,TFWS,CET,85.37,1,60
PCCOE,Mechanical Engineering,TFWS,CET,85.0,2,30
PCCOE,Electronics & Telecommunication,OPEN,CET,89.72,1,120
PCCOE,Electronics & Telecommunication,OPEN,CET,89.16,2,120
PCCOE,Electronics & Telecommunication,OBC,CET,86.0,1,30
PCCOE,Electronics & Telecommunication,OBC,CET,85.63,2,30
PCCOE,Electronics & Telecommunication,SC,CET,74.82,1,90
PCCOE,Electronics & Telecommunication,SC,CET,74.4,2,120
PCCOE,Electronics & Telecommunication,ST,CET,70.04,1,60
PCCOE,Electronics & Telecommunication,ST,CET,69.71,2,90
PCCOE,Electronics & Telecommunication,EWS,CET,86.95,1,120
PCCOE,Electronics & Telecommunication,EWS,CET,86.17,2,30
PCCOE,Electronics & Telecommunication,TFWS,CET,87.84,1,90
PCCOE,Electronics & Telecommunication,TFWS,CET,87.49,2,30
PCCOE,Civil Engineering,OPEN,CET,83.3,1,120
PCCOE,Civil Engineering,OPEN,CET,82.91,2,30
PCCOE,Civil Engineering,OBC,CET,79.72,1,30
PCCOE,Civil Engineering,OBC,CET,79.15,2,30
PCCOE,Civil Engineering,SC,CET,68.18,1,90
PCCOE,Civil Engineering,SC,CET,67.67,2,60
PCCOE,Civil Engineering,ST,CET,63.35,1,30
PCCOE,Civil Engineering,ST,CET,62.85,2,30
PCCOE,Civil Engineering,EWS,CET,80.24,1,60
PCCOE,Civil Engineering,EWS,CET,79.82,2,30
PCCOE,Civil Engineering,TFWS,CET,81.37,1,60
PCCOE,Civil Engineering,TFWS,CET,81.06,2,30
PCCOE,Electrical Engineering,OPEN,CET,86.18,1,60
PCCOE,Electrical Engineering,OPEN,CET,85.4,2,120
PCCOE,Electrical Engineering,OBC,CET,82.67,1,90
PCCOE,Electrical Engineering,OBC,CET,81.92,2,30
PCCOE,Electrical Engineering,SC,CET,71.56,1,60
PCCOE,Electrical Engineering,SC,CET,71.18,2,30
PCCOE,Electrical Engineering,ST,CET,66.21,1,30
PCCOE,Electrical Engineering,ST,CET,65.71,2,120
PCCOE,Electrical Engineering,EWS,CET,83.17,1,90
PCCOE,Electrical Engineering,EWS,CET,82.71,2,60
PCCOE,Electrical Engineering,TFWS,CET,84.16,1,120
PCCOE,Electrical Engineering,TFWS,CET,83.65,2,60
MIT,Computer Engineering,OPEN,CET,93.77,1,60
MIT,Computer Engineering,OPEN,CET,93.41,2,60
MIT,Computer Engineering,OBC,CET,89.82,1,90
MIT,Computer Engineering,OBC,CET,89.4,2,60
MIT,Computer Engineering,SC,CET,78.76,1,90
MIT,Computer Engineering,SC,CET,78.27,2,30
MIT,Computer Engineering,ST,CET,73.71,1,30
MIT,Computer Engineering,ST,CET,72.98,2,30
MIT,Computer Engineering,EWS,CET,91.1,1,90
MIT,Computer Engineering,EWS,CET,90.7,2,30
MIT,Computer Engineering,TFWS,CET,91.77,1,90
MIT,Computer Engineering,TFWS,CET,91.38,2,120
MIT,Information Technology,OPEN,CET,93.52,1,60
MIT,Information Technology,OPEN,CET,93.14,2,90
MIT,Information Technology,OBC,CET,89.15,1,90
MIT,Information Technology,OBC,CET,88.68,2,60
MIT,Information Technology,SC,CET,78.13,1,90
MIT,Information Technology,SC,CET,77.44,2,90
MIT,Information Technology,ST,CET,73.32,1,30
MIT,Information Technology,ST,CET,72.93,2,120
MIT,Information Technology,EWS,CET,90.21,1,30
MIT,Information Technology,EWS,CET,89.55,2,90
MIT,Information Technology,TFWS,CET,91.1,1,120
MIT,Information Technology,TFWS,CET,90.49,2,60
MIT,Mechanical Engineering,OPEN,CET,86.32,1,90
MIT,Mechanical Engineering,OPEN,CET,85.93,2,120
MIT,Mechanical Engineering,OBC,CET,82.65,1,30
MIT,Mechanical Engineering,OBC,CET,82.18,2,60
MIT,Mechanical Engineering,SC,CET,71.75,1,120
MIT,Mechanical Engineering,SC,CET,71.26,2,90
MIT,Mechanical Engineering,ST,CET,66.49,1,120
MIT,Mechanical Engineering,ST,CET,65.81,2,120
MIT,Mechanical Engineering,EWS,CET,83.73,1,60
MIT,Mechanical Engineering,EWS,CET,82.99,2,30
MIT,Mechanical Engineering,TFWS,CET,84.52,1,90
MIT,Mechanical Engineering,TFWS,CET,84.17,2,120
MIT,Electronics & Telecommunication,OPEN,CET,89.12,1,60
MIT,Electronics & Telecommunication,OPEN,CET,88.62,2,90
MIT,Electronics & Telecommunication,OBC,CET,84.75,1,90
MIT,Electronics & Telecommunication,OBC,CET,83.99,2,120
MIT,Electronics & Telecommunication,SC,CET,73.91,1,60
MIT,Electronics & Telecommunication,SC,CET,73.44,2,120
MIT,Electronics & Telecommunication,ST,CET,68.73,1,90
MIT,Electronics & Telecommunication,ST,CET,68.06,2,60
MIT,Electronics & Telecommunication,EWS,CET,85.82,1,120
MIT,Electronics & Telecommunication,EWS,CET,85.27,2,60
MIT,Electronics & Telecommunication,TFWS,CET,86.83,1,30
MIT,Electronics & Telecommunication,TFWS,CET,86.45,2,120
MIT,Civil Engineering,OPEN,CET,82.67,1,120
MIT,Civil Engineering,OPEN,CET,81.89,2,60
MIT,Civil Engineering,OBC,CET,78.34,1,90
MIT,Civil Engineering,OBC,CET,77.83,2,90
MIT,Civil Engineering,SC,CET,67.45,1,30
MIT,Civil Engineering,SC,CET,66.94,2,30
MIT,Civil Engineering,ST,CET,62.39,1,90
MIT,Civil Engineering,ST,CET,61.81,2,60
MIT,Civil Engineering,EWS,CET,79.52,1,30
MIT,Civil Engineering,EWS,CET,79.01,2,90
MIT,Civil Engineering,TFWS,CET,80.67,1,30
MIT,Civil Engineering,TFWS,CET,80.32,2,60
MIT,Electrical Engineering,OPEN,CET,85.57,1,60
MIT,Electrical Engineering,OPEN,CET,85.26,2,60
MIT,Electrical Engineering,OBC,CET,81.43,1,120
MIT,Electrical Engineering,OBC,CET,80.78,2,30
MIT,Electrical Engineering,SC,CET,70.72,1,120
MIT,Electrical Engineering,SC,CET,70.01,2,30
MIT,Electrical Engineering,ST,CET,65.48,1,90
MIT,Electrical Engineering,ST,CET,64.89,2,30
MIT,Electrical Engineering,EWS,CET,82.23,1,90
MIT,Electrical Engineering,EWS,CET,81.73,2,60
MIT,Electrical Engineering,TFWS,CET,83.51,1,120
MIT,Electrical Engineering,TFWS,CET,83.01,2,90
GCEA,Computer Engineering,OPEN,CET,90.54,1,60
GCEA,Computer Engineering,OPEN,CET,90.05,2,90
GCEA,Computer Engineering,OBC,CET,86.36,1,60
GCEA,Computer Engineering,OBC,CET,85.76,2,120
GCEA,Computer Engineering,SC,CET,75.23,1,90
GCEA,Computer Engineering,SC,CET,74.92,2,120
GCEA,Computer Engineering,ST,CET,70.64,1,30
GCEA,Computer Engineering,ST,CET,69.84,2,30
GCEA,Computer Engineering,EWS,CET,87.26,1,120
GCEA,Computer Engineering,EWS,CET,86.6,2,120
GCEA,Computer Engineering,TFWS,CET,88.2,1,30
GCEA,Computer Engineering,TFWS,CET,87.69,2,60
GCEA,Information Technology,OPEN,CET,89.28,1,30
GCEA,Information Technology,OPEN,CET,88.96,2,120
GCEA,Information Technology,OBC,CET,85.21,1,30
GCEA,Information Technology,OBC,CET,84.85,2,60
GCEA,Information Technology,SC,CET,74.49,1,30
GCEA,Information Technology,SC,CET,73.81,2,30
GCEA,Information Technology,ST,CET,69.27,1,90
GCEA,Information Technology,ST,CET,68.86,2,120
GCEA,Information Technology,EWS,CET,86.65,1,60
GCEA,Information Technology,EWS,CET,85.87,2,90
GCEA,Information Technology,TFWS,CET,87.47,1,30
GCEA,Information Technology,TFWS,CET,86.76,2,90
GCEA,Mechanical Engineering,OPEN,CET,80.2,1,30
GCEA,Mechanical Engineering,OPEN,CET,79.47,2,120
GCEA,Mechanical Engineering,OBC,CET,76.51,1,90
GCEA,Mechanical Engineering,OBC,CET,75.76,2,30
GCEA,Mechanical Engineering,SC,CET,65.21,1,90
GCEA,Mechanical Engineering,SC,CET,64.62,2,30
GCEA,Mechanical Engineering,ST,CET,60.61,1,90
GCEA,Mechanical Engineering,ST,CET,59.98,2,60
GCEA,Mechanical Engineering,EWS,CET,77.69,1,120
GCEA,Mechanical Engineering,EWS,CET,76.96,2,30
GCEA,Mechanical Engineering,TFWS,CET,78.39,1,30
GCEA,Mechanical Engineering,TFWS,CET,77.72,2,30
GCEA,Electronics & Telecommunication,OPEN,CET,83.18,1,60
GCEA,Electronics & Telecommunication,OPEN,CET,82.73,2,30
GCEA,Electronics & Telecommunication,OBC,CET,79.22,1,90
GCEA,Electronics & Telecommunication,OBC,CET,78.67,2,90
GCEA,Electronics & Telecommunication,SC,CET,67.83,1,60
GCEA,Electronics & Telecommunication,SC,CET,67.03,2,60
GCEA,Electronics & Telecommunication,ST,CET,62.84,1,30
GCEA,Electronics & Telecommunication,ST,CET,62.19,2,30
GCEA,Electronics & Telecommunication,EWS,CET,79.94,1,30
GCEA,Electronics & Telecommunication,EWS,CET,79.54,2,120
GCEA,Electronics & Telecommunication,TFWS,CET,80.69,1,120
GCEA,Electronics & Telecommunication,TFWS,CET,80.34,2,30
GCEA,Civil Engineering,OPEN,CET,76.62,1,60
GCEA,Civil Engineering,OPEN,CET,75.93,2,30
GCEA,Civil Engineering,OBC,CET,72.5,1,30
GCEA,Civil Engineering,OBC,CET,71.7,2,90
GCEA,Civil Engineering,SC,CET,61.69,1,30
GCEA,Civil Engineering,SC,CET,61.31,2,30
GCEA,Civil Engineering,ST,CET,56.32,1,120
GCEA,Civil Engineering,ST,CET,55.59,2,90
GCEA,Civil Engineering,EWS,CET,73.34,1,30
GCEA,Civil Engineering,EWS,CET,72.65,2,60
GCEA,Civil Engineering,TFWS,CET,74.73,1,90
