college_code,branch,category,exam_type,cutoff_percentile,round_number,seats_available
COEP,Computer Engineering,OPEN,CET,99.15,1,60
COEP,Computer Engineering,OPEN,CET,98.82,2,60
COEP,Computer Engineering,OBC,CET,95.6,1,90
COEP,Computer Engineering,OBC,CET,94.89,2,60
COEP,Computer Engineering,SC,CET,84.19,1,60
COEP,Computer Engineering,SC,CET,83.87,2,90
COEP,Computer Engineering,ST,CET,79.33,1,30
COEP,Computer Engineering,ST,CET,78.98,2,60
COEP,Computer Engineering,EWS,CET,96.62,1,60
COEP,Computer Engineering,EWS,CET,96.17,2,90
COEP,Computer Engineering,TFWS,CET,97.09,1,120
COEP,Computer Engineering,TFWS,CET,96.33,2,90
COEP,Information Technology,OPEN,CET,98.85,1,30
COEP,Information Technology,OPEN,CET,98.13,2,120
COEP,Information Technology,OBC,CET,94.84,1,90
COEP,Information Technology,OBC,CET,94.13,2,120
COEP,Information Technology,SC,CET,83.51,1,60
COEP,Information Technology,SC,CET,82.75,2,30
COEP,Information Technology,ST,CET,78.68,1,60
COEP,Information Technology,ST,CET,78.11,2,120
COEP,Information Technology,EWS,CET,95.54,1,60
COEP,Information Technology,EWS,CET,95.07,2,30
COEP,Information Technology,TFWS,CET,96.56,1,30
COEP,Information Technology,TFWS,CET,95.86,2,90
COEP,Mechanical Engineering,OPEN,CET,96.18,1,90
COEP,Mechanical Engineering,OPEN,CET,95.52,2,60
COEP,Mechanical Engineering,OBC,CET,92.52,1,60
COEP,Mechanical Engineering,OBC,CET,91.99,2,30
COEP,Mechanical Engineering,SC,CET,81.43,1,30
COEP,Mechanical Engineering,SC,CET,81.09,2,30
COEP,Mechanical Engineering,ST,CET,76.02,1,30
COEP,Mechanical Engineering,ST,CET,75.6,2,90
COEP,Mechanical Engineering,EWS,CET,93.54,1,30
COEP,Mechanical Engineering,EWS,CET,92.91,2,30
COEP,Mechanical Engineering,TFWS,CET,94.22,1,120
COEP,Mechanical Engineering,TFWS,CET,93.77,2,30
COEP,Electronics & Telecommunication,OPEN,CET,97.63,1,60
COEP,Electronics & Telecommunication,OPEN,CET,97.15,2,90
COEP,Electronics & Telecommunication,OBC,CET,93.57,1,90
COEP,Electronics & Telecommunication,OBC,CET,92.9,2,30
COEP,Electronics & Telecommunication,SC,CET,82.45,1,60
COEP,Electronics & Telecommunication,SC,CET,81.7,2,120
COEP,Electronics & Telecommunication,ST,CET,77.6,1,120
COEP,Electronics & Telecommunication,ST,CET,77.21,2,30
COEP,Electronics & Telecommunication,EWS,CET,94.37,1,60
COEP,Electronics & Telecommunication,EWS,CET,94.01,2,60
COEP,Electronics & Telecommunication,TFWS,CET,95.38,1,90
COEP,Electronics & Telecommunication,TFWS,CET,94.78,2,120
COEP,Civil Engineering,OPEN,CET,94.46,1,60
COEP,Civil Engineering,OPEN,CET,93.79,2,30
COEP,Civil Engineering,OBC,CET,90.37,1,60
