percentile,cutoff_percentile,gap,category,exam_type,admitted
68.72700594236812,87.0519226156591,-18.32491667329097,OPEN,CET,0
97.53571532049581,85.58409369638419,11.951621624111624,SC,CET,1
86.59969709057026,59.26106184051942,27.338635250050842,ST,JEE,1
79.93292420985183,96.0544720183081,-16.12154780845627,OBC,JEE,0
57.80093202212183,80.29701299597848,-22.49608097385665,TFWS,CET,0
57.79972601681013,71.18578569053795,-13.386059673727821,EWS,JEE,0
52.90418060840997,88.66596696554114,-35.76178635713117,EWS,CET,0
93.30880728874675,66.45276289887272,26.85604438987403,OBC,JEE,1
80.05575058716045,85.86118774856126,-5.805437161400818,SC,CET,0
85.40362888980228,56.767148736965,28.63648015283728,TFWS,CET,1
51.029224714790125,92.3536576736126,-41.32443295882248,OBC,JEE,0
98.49549260809971,74.94360269244868,23.55188991565103,ST,JEE,1
91.62213204002109,83.33283468892841,8.28929735109267,TFWS,CET,1
60.61695553391381,64.84508298139743,-4.228127447483615,OPEN,CET,0
59.09124836035503,85.12978021330093,-26.0385318529459,SC,JEE,0
59.17022549267169,89.36469227725081,-30.19446678457912,TFWS,CET,0
65.21211214797688,76.05798681635574,-10.845874668378855,OPEN,JEE,0
76.2378215816119,82.48884812074985,-6.251026539137953,OBC,CET,0
71.5972509321058,75.30650361009674,-3.7092526779909463,EWS,JEE,0
64.5614570099021,94.78706593197413,-30.225608922072027,TFWS,JEE,0
80.59264473611897,77.1551785328872,3.4374662032317644,TFWS,JEE,1
56.97469303260209,92.46048755178245,-35.48579451918036,OPEN,CET,0
64.6072324267609,90.66016659302606,-26.05293416626516,OPEN,JEE,0
68.31809216468459,73.26746455000186,-4.949372385317275,EWS,JEE,0
72.8034992108518,65.23875988765764,7.564739323194161,OPEN,JEE,1
89.25879806965068,73.07065489890981,16.188143170740872,OPEN,CET,1
59.98368910791799,91.7666732219973,-31.782984114079305,TFWS,JEE,0
75.71172192068059,65.12964784396296,10.582074076717632,EWS,JEE,1
79.62072844310212,78.33741739066984,1.283311052432282,EWS,JEE,1
52.32252063599989,90.87130528425325,-38.54878464825337,TFWS,JEE,0
80.37724259507192,70.72974764321286,9.64749495185906,OBC,JEE,1
58.526206184364575,83.57832884662004,-25.052122662255464,OBC,CET,0
53.25257964926398,65.93060504517224,-12.678025395908264,TFWS,JEE,0
97.44427686266667,59.86293531888312,37.58134154378355,OPEN,JEE,1
98.28160165372796,90.3500980166321,7.931503637095858,SC,CET,1
90.41986740582306,59.40410374168745,31.015763664135605,OBC,CET,1
65.23068845866854,67.07647208104152,-1.845783622372977,OBC,CET,0
54.883605700319194,93.05236927888609,-38.168763578566896,TFWS,CET,0
84.21165132560785,70.41788327500069,13.793768050607156,TFWS,JEE,1
72.00762468698007,98.30051805338016,-26.292893366400094,SC,CET,0
56.10191174223894,98.59817789743676,-42.496266155197816,SC,JEE,0
74.75884550556351,66.93828291018328,7.820562595380238,EWS,CET,1
51.71942605576092,56.823530890120125,-5.104104834359205,TFWS,CET,0
95.4660201039391,86.37531614713937,9.090703956799729,OBC,JEE,1
62.93899908000085,75.06889936785129,-12.12990028785044,ST,CET,0
83.1261142176991,59.48350155620115,23.64261266149795,ST,CET,1
65.58555380447055,86.4847654445229,-20.899211640052357,OPEN,JEE,0
76.00340105889055,56.38728345548049,19.616117603410054,OBC,CET,1
77.33551396716399,93.72375272690478,-16.388238759740787,ST,CET,0
59.24272277627635,61.170037545542016,-1.9273147692656636,OBC,CET,0
